lon,lat,rental_uris,_bcycle_station_type,region_id,address,name,station_id,is_returning,is_renting,is_installed,num_docks_available,num_bikes_available,last_reported,num_bikes_available_types
-118.26456,34.0511,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3052&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3052&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,1107 W 7th Street,7th & Bixel,bcycle_lametro_3052,1,1,1,26,3,1773087552,"{'electric': 0, 'smart': 0, 'classic': 3}"
-118.23649,34.03922,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3054&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3054&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,1245 Factory Place,Factory Place & Alameda,bcycle_lametro_3054,1,1,1,7,8,1773087552,"{'electric': 1, 'smart': 0, 'classic': 7}"
-118.26538,34.03746,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3056&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3056&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,1375 S Grand Ave,Grand & 14th,bcycle_lametro_3056,1,1,1,10,4,1773087552,"{'electric': 0, 'smart': 0, 'classic': 4}"
-118.23317,34.0358,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3058&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3058&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,1855 Industrial Street,Industrial & Mateo,bcycle_lametro_3058,1,1,1,5,10,1773087552,"{'electric': 0, 'smart': 0, 'classic': 10}"
-118.24317,34.04775,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3062&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3062&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,350 E Third Street,3rd & San Pedro,bcycle_lametro_3062,1,1,1,7,7,1773087552,"{'electric': 0, 'smart': 0, 'classic': 7}"
-118.25374,34.04804,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3063&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3063&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,532 W Olive Street,Pershing Square,bcycle_lametro_3063,1,1,1,14,7,1773087552,"{'electric': 0, 'smart': 0, 'classic': 7}"
-118.25759,34.04613,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3064&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3064&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,786 S Grand Ave,Grand & 8th,bcycle_lametro_3064,1,1,1,11,7,1773087552,"{'electric': 0, 'smart': 0, 'classic': 7}"
-118.23833,34.06056,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3065&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3065&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,725 New High Street,New High & Ord,bcycle_lametro_3065,1,1,1,7,8,1773087552,"{'electric': 2, 'smart': 0, 'classic': 6}"
-118.23616,34.06339,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3066&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3066&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,870 N Spring Street,Spring & College,bcycle_lametro_3066,1,1,1,11,3,1773087552,"{'electric': 1, 'smart': 0, 'classic': 2}"
-118.25024,34.04518,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3067&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3067&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,640 S Spring Street,Main & 6th,bcycle_lametro_3067,1,1,1,1,3,1773087552,"{'electric': 1, 'smart': 0, 'classic': 2}"
