NAME,median_income,per_capita_income,gini_index,pop_below_poverty,total_population,avg_household_size,no_vehicle_households,total_households,total_workers,transit_commuters,bike_commuters,walk_commuters,wfh_commuters,mean_travel_time,state,county,tract,pct_no_vehicle,pct_transit,pct_bike,pct_walk,pct_wfh,pct_poverty,GEOID
Census Tract 9106.05; Los Angeles County; California,60000,17558.0,0.401,1253,5376,3.98,107,1350,1712,15,0,8,57,1655,06,037,910605,7.9,0.9,0.0,0.5,3.3,23.3,06037910605
Census Tract 9106.06; Los Angeles County; California,75402,20673.0,0.3984,624,3209,4.23,14,759,1108,4,0,44,66,1042,06,037,910606,1.8,0.4,0.0,4.0,6.0,19.4,06037910606
Census Tract 9106.07; Los Angeles County; California,69375,27291.0,0.4931,1087,4233,3.61,166,1174,1647,0,0,0,92,1555,06,037,910607,14.1,0.0,0.0,0.0,5.6,25.7,06037910607
Census Tract 9106.08; Los Angeles County; California,65647,20110.0,0.3155,472,3636,3.58,66,1011,1390,32,5,0,108,1282,06,037,910608,6.5,2.3,0.4,0.0,7.8,13.0,06037910608
Census Tract 9107.06; Los Angeles County; California,91641,24884.0,0.3459,614,6888,4.1,88,1678,2460,27,0,0,80,2380,06,037,910706,5.2,1.1,0.0,0.0,3.3,8.9,06037910706
Census Tract 9107.07; Los Angeles County; California,74096,25040.0,0.3798,947,5101,3.47,52,1470,2131,136,0,0,178,1953,06,037,910707,3.5,6.4,0.0,0.0,8.4,18.6,06037910707
Census Tract 9107.09; Los Angeles County; California,106429,37331.0,0.3835,66,1660,3.33,0,498,749,12,0,9,84,665,06,037,910709,0.0,1.6,0.0,1.2,11.2,4.0,06037910709
Census Tract 9107.12; Los Angeles County; California,90147,22936.0,0.3155,359,3322,3.99,22,826,1532,6,50,23,118,1414,06,037,910712,2.7,0.4,3.3,1.5,7.7,10.8,06037910712
Census Tract 9107.13; Los Angeles County; California,87877,20745.0,0.3318,1768,7172,4.49,71,1596,2561,52,0,25,160,2401,06,037,910713,4.4,2.0,0.0,1.0,6.2,24.7,06037910713
Census Tract 9107.14; Los Angeles County; California,76786,24739.0,0.368,179,4116,4.11,30,1002,1764,52,0,18,113,1651,06,037,910714,3.0,2.9,0.0,1.0,6.4,4.3,06037910714
Census Tract 9107.15; Los Angeles County; California,75469,25105.0,0.3519,568,6538,3.46,92,1886,2736,29,0,23,165,2571,06,037,910715,4.9,1.1,0.0,0.8,6.0,8.7,06037910715
Census Tract 9107.16; Los Angeles County; California,92324,32182.0,0.4301,738,6488,3.67,64,1769,2981,36,0,0,286,2695,06,037,910716,3.6,1.2,0.0,0.0,9.6,11.4,06037910716
Census Tract 9107.17; Los Angeles County; California,91250,26783.0,0.2836,79,2308,4.22,49,542,1046,15,0,13,127,919,06,037,910717,9.0,1.4,0.0,1.2,12.1,3.4,06037910717
Census Tract 9107.18; Los Angeles County; California,87238,30012.0,0.3922,507,5308,4.09,26,1298,2404,20,0,0,122,2282,06,037,910718,2.0,0.8,0.0,0.0,5.1,9.6,06037910718
Census Tract 9107.19; Los Angeles County; California,104115,23054.0,0.2856,323,4658,4.74,10,982,2074,0,0,29,78,1996,06,037,910719,1.0,0.0,0.0,1.4,3.8,6.9,06037910719
Census Tract 9107.20; Los Angeles County; California,75625,31881.0,0.5195,1099,5366,3.49,121,1536,2117,0,0,14,188,1929,06,037,910720,7.9,0.0,0.0,0.7,8.9,20.5,06037910720
Census Tract 9107.21; Los Angeles County; California,48659,19950.0,0.3409,565,3708,3.53,43,1047,1379,0,0,0,20,1359,06,037,910721,4.1,0.0,0.0,0.0,1.5,15.2,06037910721
Census Tract 9108.04; Los Angeles County; California,128478,55392.0,0.3795,197,2900,2.76,0,1052,1400,61,0,11,267,1133,06,037,910804,0.0,4.4,0.0,0.8,19.1,6.8,06037910804
Census Tract 9108.07; Los Angeles County; California,124688,45801.0,0.3669,779,6142,3.26,41,1882,3006,51,0,8,520,2486,06,037,910807,2.2,1.7,0.0,0.3,17.3,12.7,06037910807
